COUPON_ID,CODE,DISCOUNT_PERCENT,DISCOUNT_AMOUNT,EXPIRATION_DATE,MAX_USES,USES_COUNT
1,CPN1000,9.08,229.52,2024-02-26,66,18
2,CPN1001,39.08,409.57,2024-03-11,34,20
3,CPN1002,6.1,396.88,2024-12-14,55,76
4,CPN1003,22.6,81.63,2024-02-17,57,94
5,CPN1004,34.4,312.89,2024-09-17,91,96
6,CPN1005,20.06,92.7,2024-05-04,11,60
7,CPN1006,42.25,336.66,2024-07-11,15,60
8,CPN1007,8.48,244.48,2024-07-08,57,50
9,CPN1008,46.49,364.21,2024-11-06,48,32
10,CPN1009,24.8,463.68,2024-01-27,5,97
11,CPN1010,24.95,112.74,2024-02-09,3,71
12,CPN1011,9.36,166.49,2024-05-04,73,82
13,CPN1012,41.87,76.92,2024-12-15,79,19
14,CPN1013,19.7,377.82,2024-03-23,82,88
15,CPN1014,6.99,87.03,2024-09-25,43,33
16,CPN1015,16.89,183.74,2024-05-08,84,85
17,CPN1016,10.97,277.9,2024-05-28,4,5
18,CPN1017,18.43,76.76,2024-02-18,30,77
19,CPN1018,40.63,263.39,2024-10-06,2,87
20,CPN1019,33.63,479.29,2024-12-20,65,51
