REVIEW_ID,PRODUCT_ID,CUSTOMER_ID,RATING,COMMENT,REVIEW_DATE
1339.17,3695.18,2006.57,3809.8,Sample description 1,2024-03-06
3128.72,4444.16,964.99,4595.68,Sample description 2,2024-04-06
3706.03,4532.56,2886.38,2908.19,Sample description 3,2024-03-12
2979.92,1258.08,4132.77,2885.87,Sample description 4,2024-07-04
1998.47,784.3,3582.17,1881.01,Sample description 5,2024-08-28
1926.2,1015.56,1332.7,4652.22,Sample description 6,2024-04-21
664.08,3188.62,4286.83,3004.28,Sample description 7,2024-10-02
4891.9,759.64,1910.05,256.18,Sample description 8,2024-08-23
786.79,1144.63,4187.03,4864.88,Sample description 9,2024-08-10
3759.1,646.95,2920.55,965.48,Sample description 10,2024-05-27
