COUPON_ID,CODE,DISCOUNT_PERCENT,DISCOUNT_AMOUNT,EXPIRATION_DATE,MAX_USES,USES_COUNT
1,CPN1000,16.99,331.8,2024-06-06,32,5
2,CPN1001,37.69,189.05,2024-06-19,23,34
3,CPN1002,24.74,412.23,2024-12-20,89,91
4,CPN1003,40.05,270.86,2024-06-21,66,92
5,CPN1004,34.65,208.21,2024-01-17,76,43
6,CPN1005,25.01,480.15,2024-11-04,12,13
7,CPN1006,24.61,113.5,2024-06-14,39,41
8,CPN1007,33.0,297.61,2024-10-14,40,11
9,CPN1008,14.53,418.8,2024-12-09,68,80
10,CPN1009,33.76,397.88,2024-05-27,8,26
11,CPN1010,25.65,454.63,2024-07-21,31,56
12,CPN1011,32.31,213.44,2024-11-07,1,1
13,CPN1012,46.89,106.67,2024-03-06,100,5
14,CPN1013,38.42,460.19,2024-11-27,51,9
15,CPN1014,45.89,230.56,2024-09-10,70,99
16,CPN1015,48.76,75.14,2024-12-27,72,58
17,CPN1016,23.72,117.47,2024-01-01,64,75
18,CPN1017,41.21,196.79,2024-05-16,23,17
19,CPN1018,8.76,256.94,2024-06-07,88,97
20,CPN1019,41.49,197.7,2024-04-19,11,14
