COUPON_ID,CODE,DISCOUNT_PERCENT,DISCOUNT_AMOUNT,EXPIRATION_DATE,MAX_USES,USES_COUNT
1,Sample description 1,Value_1,1943.41,2024-01-25,Value_1,Value_1
2,Sample description 2,Value_2,3685.71,2024-03-11,Value_2,Value_2
3,Sample description 3,Value_3,1615.95,2024-02-22,Value_3,Value_3
4,Sample description 4,Value_4,194.35,2024-01-12,Value_4,Value_4
5,Sample description 5,Value_5,2534.8,2024-12-15,Value_5,Value_5
6,Sample description 6,Value_6,7653.62,2024-05-24,Value_6,Value_6
7,Sample description 7,Value_7,2172.22,2024-03-17,Value_7,Value_7
8,Sample description 8,Value_8,5476.48,2024-07-18,Value_8,Value_8
9,Sample description 9,Value_9,6082.2,2024-09-02,Value_9,Value_9
10,Sample description 10,Value_10,9096.0,2024-12-24,Value_10,Value_10
