COUPON_ID,CODE,DISCOUNT_PERCENT,DISCOUNT_AMOUNT,EXPIRATION_DATE,MAX_USES,USES_COUNT
1,CPN1000,34.6,263.45,2024-12-01,64,63
2,CPN1001,23.16,291.69,2024-03-22,86,7
3,CPN1002,11.49,355.25,2024-05-22,80,70
4,CPN1003,40.52,225.76,2024-07-20,5,43
5,CPN1004,31.99,79.87,2024-06-11,39,49
6,CPN1005,19.01,214.58,2024-03-15,16,20
7,CPN1006,19.3,168.23,2024-06-13,80,89
8,CPN1007,47.64,462.89,2024-05-14,35,90
9,CPN1008,44.33,306.9,2024-03-13,16,51
10,CPN1009,6.85,86.07,2024-12-25,22,94
11,CPN1010,33.97,461.05,2024-11-03,98,41
12,CPN1011,13.16,41.7,2024-09-28,35,86
13,CPN1012,7.0,258.29,2024-04-26,15,42
14,CPN1013,44.27,207.57,2024-10-04,94,60
15,CPN1014,46.71,351.63,2024-09-09,8,43
16,CPN1015,20.64,126.64,2024-09-23,31,81
17,CPN1016,9.25,117.33,2024-07-05,97,63
18,CPN1017,37.95,58.02,2024-02-05,66,97
19,CPN1018,42.79,159.24,2024-08-17,5,11
