MOUNTAIN_ID,NAME,LOCATION,HEIGHT,RANGE
1,Lisa Miller,Sample description 1,Value_1,Sample description 1
2,Jane Williams,Sample description 2,Value_2,Sample description 2
3,David Smith,Sample description 3,Value_3,Sample description 3
4,Lisa Miller,Sample description 4,Value_4,Sample description 4
5,Mary Wilson,Sample description 5,Value_5,Sample description 5
6,Lisa Taylor,Sample description 6,Value_6,Sample description 6
7,Lisa Davis,Sample description 7,Value_7,Sample description 7
8,Michael Smith,Sample description 8,Value_8,Sample description 8
9,David Jones,Sample description 9,Value_9,Sample description 9
10,Jane Wilson,Sample description 10,Value_10,Sample description 10
11,Robert Wilson,Sample description 11,Value_11,Sample description 11
12,David Brown,Sample description 12,Value_12,Sample description 12
13,Sarah Jones,Sample description 13,Value_13,Sample description 13
14,Robert Williams,Sample description 14,Value_14,Sample description 14
15,Lisa Taylor,Sample description 15,Value_15,Sample description 15
16,Jane Miller,Sample description 16,Value_16,Sample description 16
17,Lisa Taylor,Sample description 17,Value_17,Sample description 17
18,Emily Wilson,Sample description 18,Value_18,Sample description 18
19,James Davis,Sample description 19,Value_19,Sample description 19
20,Emily Taylor,Sample description 20,Value_20,Sample description 20
