ORDER_ID,CUSTOMER_ID,ORDER_DATE,STATUS,TOTAL_AMOUNT,COUPON_ID,SHIPPING_ADDRESS_ID,BILLING_ADDRESS_ID
1,1,2024-06-19,cancelled,45.09,1,1,1
2,2,2024-01-09,inactive,238.17,2,2,2
3,3,2024-11-07,completed,355.54,3,3,3
4,4,2024-06-09,active,29.21,4,4,4
5,5,2024-10-07,completed,256.11,5,5,5
6,6,2024-10-15,cancelled,478.45,6,6,6
7,7,2024-05-20,inactive,257.5,7,7,7
8,8,2024-06-16,inactive,356.4,8,8,8
9,9,2024-11-22,cancelled,71.92,9,9,9
10,10,2024-09-14,inactive,494.9,10,10,10
11,11,2024-11-04,pending,155.54,11,11,11
12,12,2024-02-11,active,491.5,12,12,12
13,13,2024-06-06,inactive,228.35,13,13,13
14,14,2024-05-21,cancelled,142.6,14,14,14
15,15,2024-08-27,pending,43.15,15,15,15
16,16,2024-06-24,cancelled,140.14,16,16,16
17,17,2024-08-05,completed,465.06,17,17,17
18,18,2024-11-24,inactive,334.26,18,18,18
19,19,2024-12-27,inactive,441.23,19,19,19
20,20,2024-11-01,completed,316.33,20,20,20
