COUPON_ID,CODE,DISCOUNT_PERCENT,DISCOUNT_AMOUNT,EXPIRATION_DATE,MAX_USES,USES_COUNT
1,CPN1000,39.42,451.92,2024-12-19,29,11
2,CPN1001,18.03,21.73,2024-06-20,14,26
3,CPN1002,15.93,330.73,2024-11-25,17,2
4,CPN1003,10.19,174.51,2024-03-18,23,12
5,CPN1004,12.93,37.64,2024-12-16,18,79
6,CPN1005,17.99,263.19,2024-05-15,61,79
7,CPN1006,42.61,188.18,2024-03-03,77,46
8,CPN1007,29.55,209.68,2024-03-03,71,7
9,CPN1008,10.96,446.72,2024-12-04,90,87
10,CPN1009,33.93,290.25,2024-08-18,21,57
11,CPN1010,34.72,29.5,2024-08-23,18,86
12,CPN1011,32.4,323.92,2024-11-03,71,77
13,CPN1012,6.74,431.48,2024-01-25,44,66
14,CPN1013,32.17,413.09,2024-03-19,41,19
15,CPN1014,7.02,141.26,2024-01-12,97,40
16,CPN1015,43.17,93.71,2024-10-07,3,84
17,CPN1016,25.71,216.68,2024-10-01,97,7
18,CPN1017,36.05,172.38,2024-05-18,42,13
19,CPN1018,47.85,204.37,2024-09-12,43,51
