ORDER_ID,CUSTOMER_ID,ORDER_DATE,STATUS,TOTAL_AMOUNT,COUPON_ID,SHIPPING_ADDRESS_ID,BILLING_ADDRESS_ID
375.81,2747.23,2024-12-25,active,945.58,2521.47,395.31,2684.07
3442.64,3748.95,2024-10-02,cancelled,2312.72,1482.11,2812.84,4925.08
352.27,3178.58,2024-06-17,cancelled,3817.39,2430.72,2148.49,1102.57
1076.38,3873.93,2024-08-14,inactive,2024.69,4055.04,4047.2,4363.4
2381.36,3194.42,2024-09-18,inactive,1086.19,1462.99,3389.6,1689.54
4683.8,794.95,2024-12-04,pending,341.98,2414.42,1551.54,3596.11
3716.56,588.3,2024-10-21,pending,408.41,2337.21,388.25,736.12
1589.35,2459.32,2024-09-10,completed,603.38,1509.76,2473.32,2931.44
4139.17,1039.28,2024-12-08,completed,576.16,2494.0,2865.14,1872.63
1083.02,2251.7,2024-10-14,pending,2448.34,354.95,2355.08,4108.15
