ORDER_ID,CUSTOMER_ID,ORDER_DATE,STATUS,TOTAL_AMOUNT,COUPON_ID,SHIPPING_ADDRESS_ID,BILLING_ADDRESS_ID
3075.93,2837.86,2024-12-23,cancelled,4581.23,3529.13,250.2,631.66
4580.55,2507.65,2024-11-21,active,3554.77,4653.17,3206.79,2998.54
4245.04,4594.11,2024-01-26,pending,215.49,1131.65,3642.85,2743.47
972.1,4058.94,2024-06-23,cancelled,4496.74,3131.61,3969.23,1666.73
3316.13,3751.09,2024-09-27,inactive,1029.24,3745.92,4034.15,3961.4
498.07,614.92,2024-01-24,inactive,4288.77,559.95,1488.87,2324.2
1073.12,1929.24,2024-01-16,cancelled,1973.7,1169.23,4064.59,1962.99
2117.63,899.24,2024-01-09,completed,4539.16,1970.12,3321.31,2113.59
3639.22,1948.58,2024-04-10,pending,1741.89,3040.27,4514.18,3102.38
305.95,2121.01,2024-03-03,cancelled,69.01,4967.9,3966.04,3164.01
1191.58,2970.14,2024-11-05,inactive,1258.83,3594.36,2541.8,3524.75
